2015/2/18 15:11:23,43.0 PSI
2015/2/18 15:11:34,42.9 PSI
2015/2/18 15:11:45,42.9 PSI
2015/2/18 15:11:55,42.3 PSI
2015/2/18 15:12:6,42.3 PSI
2015/2/18 15:12:17,42.2 PSI
2015/2/18 15:12:27,42.0 PSI
2015/2/18 15:12:38,41.6 PSI
2015/2/18 15:12:48,42.0 PSI
2015/2/18 15:12:59,42.0 PSI
2015/2/18 15:13:10,42.4 PSI
2015/2/18 15:13:20,42.0 PSI
2015/2/18 15:13:31,42.2 PSI
2015/2/18 15:13:41,42.6 PSI
2015/2/18 15:13:52,42.9 PSI
2015/2/18 15:14:3,43.3 PSI
2015/2/18 15:14:13,43.6 PSI
2015/2/18 15:14:24,43.9 PSI
2015/2/18 15:14:34,45.1 PSI
2015/2/18 15:14:45,45.6 PSI
2015/2/18 15:14:56,45.6 PSI
2015/2/18 15:15:6,45.6 PSI
2015/2/18 15:15:17,46.2 PSI
2015/2/18 15:15:27,46.0 PSI
2015/2/18 15:15:38,46.4 PSI
2015/2/18 15:15:49,46.3 PSI
2015/2/18 15:15:59,45.5 PSI
2015/2/18 15:16:10,46.1 PSI
2015/2/18 15:16:20,46.0 PSI
2015/2/18 15:16:31,46.5 PSI
2015/2/18 15:16:42,47.1 PSI
2015/2/18 15:16:52,47.0 PSI
2015/2/18 15:17:3,46.5 PSI
2015/2/18 15:17:13,47.0 PSI
2015/2/18 15:17:24,47.3 PSI
2015/2/18 15:17:35,47.8 PSI
2015/2/18 15:17:45,47.7 PSI
2015/2/18 15:17:56,47.9 PSI
2015/2/18 15:18:7,48.4 PSI
2015/2/18 15:18:17,48.4 PSI
2015/2/18 15:18:28,48.6 PSI
2015/2/18 15:18:39,47.4 PSI
2015/2/18 15:18:49,47.4 PSI
2015/2/18 15:19:0,47.5 PSI
2015/2/18 15:19:10,47.3 PSI
2015/2/18 15:19:21,47.1 PSI
2015/2/18 15:19:32,47.1 PSI
2015/2/18 15:19:42,47.3 PSI
2015/2/18 15:19:53,47.4 PSI
2015/2/18 15:20:4,47.4 PSI
2015/2/18 15:20:14,47.2 PSI
2015/2/18 15:20:25,47.7 PSI
2015/2/18 15:20:35,47.4 PSI
2015/2/18 15:20:46,47.7 PSI
2015/2/18 15:20:57,47.6 PSI
2015/2/18 15:21:7,47.4 PSI
2015/2/18 15:21:18,47.6 PSI
2015/2/18 15:21:28,47.7 PSI
2015/2/18 15:21:39,47.4 PSI
2015/2/18 15:21:50,47.7 PSI
2015/2/18 15:22:0,47.5 PSI
2015/2/18 15:22:11,47.6 PSI
2015/2/18 15:22:22,47.4 PSI
2015/2/18 15:22:32,48.2 PSI
2015/2/18 15:22:43,47.7 PSI
2015/2/18 15:22:53,47.1 PSI
2015/2/18 15:23:4,47.0 PSI
2015/2/18 15:23:15,46.5 PSI
2015/2/18 15:23:25,47.4 PSI
2015/2/18 15:23:36,47.7 PSI
2015/2/18 15:23:46,47.4 PSI
2015/2/18 15:23:57,47.4 PSI
2015/2/18 15:24:8,47.2 PSI
2015/2/18 15:24:18,47.5 PSI
2015/2/18 15:24:29,47.4 PSI
2015/2/18 15:24:40,48.0 PSI
2015/2/18 15:24:50,47.4 PSI
